iter	Passed	Remaining
204	2565	9947
205	2576	9929
206	2587	9911
207	2597	9888
208	2609	9877
209	2621	9863
210	2631	9839
211	2641	9819
212	2657	9819
213	2677	9834
214	2693	9835
215	2709	9834
216	2726	9839
217	2745	9849
218	2767	9870
219	2793	9903
220	2819	9937
221	2849	9986
222	2859	9964
223	2870	9945
224	2881	9925
225	2891	9903
226	2901	9879
227	2910	9856
228	2921	9835
229	2931	9814
230	2941	9792
231	2957	9791
232	2968	9771
233	2978	9751
234	2989	9732
235	3002	9719
236	3016	9712
237	3033	9712
238	3047	9704
239	3062	9699
240	3079	9697
241	3090	9680
242	3100	9658
243	3112	9643
244	3122	9623
245	3132	9600
246	3142	9579
247	3155	9567
248	3166	9551
249	3177	9532
250	3188	9513
251	3202	9505
252	3214	9491
253	3224	9469
254	3235	9454
255	3246	9434
256	3258	9420
257	3269	9402
258	3279	9382
259	3290	9363
260	3300	9346
261	3311	9327
262	3321	9308
263	3332	9289
264	3341	9269
265	3351	9248
266	3364	9235
267	3375	9219
268	3385	9201
269	3395	9181
270	3407	9167
271	3417	9147
272	3428	9131
273	3440	9115
274	3452	9101
275	3462	9082
276	3472	9063
277	3482	9043
278	3493	9027
279	3503	9009
280	3515	8995
281	3528	8984
282	3539	8967
283	3560	8975
284	3582	8988
285	3609	9010
286	3638	9037
287	3701	9151
288	3735	9189
289	3759	9203
290	3776	9200
291	3801	9216
292	3831	9244
293	3846	9236
294	3869	9246
295	3891	9256
296	3920	9280
297	3941	9285
298	3962	9290
299	3983	9294
300	4007	9306
301	4018	9287
302	4029	9268
303	4038	9247
304	4053	9235
305	4062	9214
306	4072	9192
307	4082	9171
308	4097	9162
309	4117	9164
310	4140	9174
311	4162	9177
312	4181	9178
313	4197	9169
314	4209	9153
315	4220	9135
316	4231	9116
317	4241	9096
318	4252	9077
319	4266	9065
320	4277	9047
321	4289	9032
322	4300	9013
323	4312	8998
324	4325	8982
325	4338	8968
326	4363	8981
327	4381	8977
328	4404	8983
329	4423	8980
330	4446	8986
331	4459	8973
332	4471	8956
333	4481	8935
334	4493	8919
335	4503	8899
336	4514	8882
337	4525	8863
338	4537	8846
339	4550	8833
340	4564	8820
341	4576	8804
342	4587	8787
343	4597	8766
344	4607	8748
345	4618	8729
346	4628	8710
347	4639	8691
348	4649	8673
349	4662	8659
350	4672	8640
351	4682	8620
352	4693	8602
353	4703	8582
354	4713	8564
355	4724	8545
356	4734	8526
357	4744	8508
358	4756	8492
359	4766	8474
360	4777	8457
361	4788	8439
362	4799	8421
363	4809	8403
364	4829	8401
365	4839	8382
366	4848	8362
367	4860	8346
368	4869	8327
369	4879	8308
370	4889	8290
371	4900	8273
372	4910	8254
373	4921	8238
374	4931	8219
375	4942	8201
376	4952	8184
377	4962	8166
378	4972	8147
379	4983	8131
380	4993	8112
381	5003	8094
382	5014	8078
383	5023	8059
384	5034	8042
385	5045	8025
386	5056	8009
387	5070	7997
388	5081	7980
389	5091	7963
390	5101	7945
391	5110	7926
392	5121	7910
393	5132	7894
394	5141	7875
395	5151	7857
396	5163	7842
397	5174	7826
398	5184	7808
399	5194	7791
400	5204	7773
401	5214	7756
402	5225	7741
403	5237	7727
404	5249	7712
405	5260	7695
406	5270	7679
407	5286	7670
408	5303	7664
409	5326	7665
410	5350	7667
411	5359	7649
412	5381	7648
413	5404	7649
414	5426	7648
415	5444	7643
416	5462	7637
417	5473	7620
418	5483	7604
419	5494	7587
420	5504	7570
421	5514	7552
422	5524	7536
423	5541	7528
424	5551	7511
425	5568	7503
426	5577	7484
427	5588	7468
428	5618	7477
429	5650	7489
430	5666	7481
431	5677	7464
432	5688	7448
433	5705	7440
434	5721	7431
435	5736	7420
436	5749	7406
437	5765	7397
438	5777	7383
439	5805	7389
440	5844	7408
441	5878	7421
442	5895	7413
443	5906	7395
444	5917	7380
445	5934	7371
446	5950	7361
447	5962	7347
448	5973	7330
449	5984	7313
450	5994	7296
451	6005	7280
452	6015	7263
453	6026	7247
454	6035	7229
455	6047	7214
456	6056	7195
457	6065	7178
458	6076	7162
459	6086	7145
460	6096	7128
461	6106	7110
462	6116	7094
463	6128	7080
464	6139	7063
465	6149	7047
466	6159	7030
467	6170	7013
468	6182	6999
469	6191	6982
470	6202	6966
471	6212	6949
472	6225	6936
473	6235	6919
474	6246	6904
475	6256	6887
476	6267	6871
477	6276	6854
478	6286	6837
479	6295	6820
480	6308	6806
481	6319	6791
482	6330	6775
483	6340	6759
484	6352	6745
485	6362	6729
486	6373	6713
487	6383	6697
488	6394	6682
489	6405	6666
490	6415	6650
491	6425	6634
492	6435	6617
493	6445	6601
494	6455	6585
495	6467	6571
496	6478	6556
497	6487	6539
498	6500	6526
499	6511	6511
500	6526	6500
501	6543	6491
502	6553	6474
503	6565	6461
504	6579	6448
505	6591	6435
506	6608	6425
507	6624	6415
508	6643	6409
509	6665	6404
510	6680	6393
511	6695	6381
512	6717	6377
513	6736	6369
514	6760	6366
515	6781	6361
516	6792	6345
517	6805	6332
518	6821	6322
519	6831	6305
520	6841	6289
521	6851	6273
522	6863	6259
523	6878	6248
524	6890	6234
525	6901	6219
526	6912	6204
527	6926	6192
528	6944	6182
529	6962	6174
530	6978	6163
531	6991	6150
532	7002	6135
533	7011	6118
534	7023	6104
535	7034	6089
536	7044	6073
537	7058	6061
538	7070	6047
539	7080	6031
540	7090	6015
541	7100	6000
542	7111	5985
543	7120	5969
544	7133	5955
545	7142	5939
546	7154	5924
547	7165	5910
548	7176	5895
549	7186	5879
550	7196	5864
551	7207	5849
552	7218	5834
553	7229	5819
554	7238	5804
555	7249	5789
556	7262	5775
557	7275	5762
558	7285	5747
559	7295	5731
560	7306	5717
561	7316	5701
562	7326	5687
563	7337	5672
564	7348	5657
565	7358	5642
566	7369	5627
567	7379	5612
568	7389	5597
569	7399	5582
570	7410	5567
571	7421	5552
572	7431	5538
573	7441	5522
574	7452	5508
575	7462	5493
576	7473	5479
577	7483	5464
578	7494	5449
579	7504	5434
580	7525	5427
581	7536	5412
582	7546	5397
583	7557	5383
584	7567	5368
585	7577	5353
586	7587	5338
587	7598	5324
588	7608	5309
589	7618	5294
590	7629	5279
591	7639	5265
592	7650	5250
593	7659	5235
594	7670	5220
