iter	Logloss
0	0.631734166
1	0.5703002517
2	0.5249684198
3	0.4798564117
4	0.4450175805
5	0.4162298938
6	0.381542192
7	0.3584362753
8	0.3398792618
9	0.3226494834
10	0.3109545708
11	0.2882179488
12	0.2718656999
13	0.2616727059
14	0.2538533569
15	0.2454212039
16	0.2387434149
17	0.229970596
18	0.2252272834
19	0.219205551
20	0.2137485077
21	0.2104584059
22	0.2039297587
23	0.2000049383
24	0.1964941007
25	0.190522214
26	0.1866086568
27	0.1838469148
28	0.1780388577
29	0.1739285646
30	0.1690703465
31	0.1665303525
32	0.163349747
33	0.1610545803
34	0.159468419
35	0.1557825209
36	0.1532249494
37	0.1515578168
38	0.1502929148
39	0.148406845
40	0.1456597156
41	0.1435843097
42	0.142343172
43	0.1406585929
44	0.1388146244
45	0.1374699549
46	0.1360627002
47	0.1340371947
48	0.1323683649
49	0.1311483857
50	0.1293353505
51	0.128157664
52	0.1264947772
53	0.1247557963
54	0.1236350694
55	0.1227016311
56	0.1206442584
57	0.1197387199
58	0.1188218234
59	0.117961672
60	0.1171891967
61	0.1156561682
62	0.1148691821
63	0.1133087926
64	0.1121801181
65	0.110828572
66	0.1098984247
67	0.1090040396
68	0.1081295722
69	0.1074184355
70	0.1062173423
71	0.1057914887
72	0.1053676636
73	0.1044022635
74	0.1033247271
75	0.102469153
76	0.1016486613
77	0.1010359035
78	0.100276115
79	0.09947957927
80	0.09850231615
81	0.09814959515
82	0.0973372392
83	0.09696043232
84	0.09656059341
85	0.09579983575
86	0.09511999556
87	0.09485731686
88	0.09432126503
89	0.09365651819
90	0.09326437079
91	0.09289249253
92	0.09216917526
93	0.09167913709
94	0.09090102043
95	0.09044242659
96	0.08984205954
97	0.08935770316
98	0.08906730668
99	0.08848346732
100	0.08813520974
101	0.08745627557
102	0.08708614767
103	0.08691373821
104	0.08639800258
105	0.08592870978
106	0.08525773019
107	0.0849171979
108	0.08444428392
109	0.08403529143
110	0.0834744645
111	0.08331367791
112	0.0827978328
113	0.08232188444
114	0.08185146993
115	0.08143191792
116	0.08092934707
117	0.08042469816
118	0.07979279668
119	0.07946005365
120	0.07910257366
121	0.07877485283
122	0.078204959
123	0.07787109348
